question.slug,National, AL   , AK   , AZ   , AR   , CA   , CO   , CT   , DE   , DC   , FL   , GA   , HI   , ID   , IL   , IN   , IA   , KS   , KY   , LA   , ME   , MD   , MA   , MI   , MN   , MS   , MO   , MT   , NE   , NV   , NH   , NJ   , NM   , NY   ,NYC, NC   , ND   , OH   , OK   , OR   , PA   ,Allegheny    , RI   , SC   , SD   , TN   , TX   , UT   , VT   , VA   , WA   , WV   , WI   , WY   
ans_4_type_activity,"Beverages, snacks and/or meals","Beverages, snacks and/or meals",STEM learning opportunities,Music or art,Music or art,STEM learning opportunities,STEM learning opportunities,"Beverages, snacks and/or meals",Opportunities for reading or writing,Opportunities for reading or writing,STEM learning opportunities,Opportunities for reading or writing,Before-school programs,Opportunities for physical activity,STEM learning opportunities,"Beverages, snacks and/or meals",Homework assistance,STEM learning opportunities,Opportunities for reading or writing,STEM learning opportunities ,"Workforce skills development, such as teamwork, leadership and critical thinking","Beverages, snacks and/or meals",Music or art,"Beverages, snacks and/or meals",Homework assistance,"Beverages, snacks and/or meals","Beverages, snacks and/or meals",STEM learning opportunities,Opportunities for physical activity,"Beverages, snacks and/or meals","Beverages, snacks and/or meals","Beverages, snacks and/or meals","Beverages, snacks and/or meals",Opportunities for reading or writing,Academic programs/clubs,Music or art,Opportunities for reading or writing,STEM learning opportunities,"Beverages, snacks and/or meals",Opportunities for reading or writing,"Beverages, snacks and/or meals","Beverages, snacks and/or meals",STEM learning opportunities ,Opportunities for reading or writing,STEM learning opportunities,Opportunities for reading or writing,Opportunities for reading or writing,STEM learning opportunities,Music or art,Opportunities for reading or writing,Academic programs/clubs,Opportunities for reading or writing,Homework assistance,"Beverages, snacks and/or meals"
p_for_ans_4_type_activity,71.6,84.6,65.9,63.7,78.8,74.3,73.1,71.9,74.6,84.3,75.1,66.7,62.5,76.5,64.5,74.9,73.8,63.3,74.2,67.3,62.1,64.6,75.4,65.7,73.9,57.9,76.2,62.6,72.1,65.8,74.4,68.1,70.5,66.8,71.4,59.1,45.9,65.4,68.9,69.2,73.5,74.9,75.3,71.2,65.9,64.9,75.6,62.9,78.8,68.2,63.7,85.7,51.5,66.8
ans_5_type_activity,STEM learning opportunities ,STEM learning opportunities,Academic programs/clubs,Parent/family activities,Opportunities for reading or writing,Academic programs/clubs,Academic programs/clubs,Opportunities for reading or writing,Opportunities for physical activity,Academic programs/clubs,"Beverages, snacks and/or meals",STEM learning opportunities,Opportunities for reading or writing,"Beverages, snacks and/or meals",Academic programs/clubs,STEM learning opportunities,STEM learning opportunities,Opportunities for reading or writing,STEM learning opportunities,Homework assistance,Parent/family activities,Music or art,Homework assistance,STEM learning opportunities,STEM learning opportunities,Opportunities for reading or writing,STEM learning opportunities,Homework assistance,STEM learning opportunities,Music or art,Opportunities for reading or writing,Opportunities for reading or writing,Academic programs/clubs,Academic programs/clubs,Opportunities for reading or writing,Opportunities for reading or writing,"Beverages, snacks and/or meals",Opportunities for reading or writing,STEM learning opportunities,Music or art,STEM learning opportunities,Music or art,Opportunities for reading or writing,STEM learning opportunities,"Beverages, snacks and/or meals",Music or art,STEM learning opportunities,"Beverages, snacks and/or meals",Homework assistance,Academic programs/clubs,STEM learning opportunities,STEM learning opportunities ,Music or art,Parent/family activities
p_for_ans_5_type_activity,68.7,83,63.3,52.9,74.2,74.2,69.4,69,71,83.1,71.5,65.4,50.6,67,63.4,65,71.9,54.2,72.2,63.9,54.6,59.3,71.5,60.1,73.1,51.3,73.5,61.9,63.8,65.4,68.8,65.3,60,66.2,69.3,56.9,43.8,65.2,58.8,67.5,66,73.7,69.6,59.4,64.3,60.7,69.1,59.9,76.6,66.1,61.8,76.6,51,61.7
p_of_parents_programs_excite_abt_learning,64.4,56.6,57.9,71.5,62.7,72.3,60.5,55.8,64.7,69.8,64.9,59.3,61.6,54,74.2,56.9,58.8,53.5,59.8,70.9,54.1,61.6,65.8,66.7,62.8,63.6,61.8,60.9,56.3,59.7,61.7,58.7,63.6,66.5,73.1,65.3,68.9,70.5,59.9,55.2,68.5,67.2,52.2,67.7,57.4,62.3,61.5,57.6,61.6,63.9,54,62.8,57.7,76.6
p_of_parents_programs_help_child_gain_skills,66.6,64.6,67.4,71.1,62.5,72.8,49.4,60,65.3,69.4,72.3,63.9,64.3,59.8,69.8,59.2,61.6,52.6,61.1,70.4,66.7,61.5,68.4,70.1,60.9,62.9,70.2,69.8,56.3,58.8,66.5,64.4,66.9,69.3,71.9,62,70.1,70.2,60.6,59.3,69.7,65.5,56.3,72.5,63.5,74.2,62.5,68.9,64.3,67.3,66.9,69.1,62.7,72.1
p_of_parents_programs_reduce_risky,72.8,62.1,66.6,69.4,73.5,79.5,71.1,71.5,73,69.3,76.7,70,74.8,69,72.1,71.4,72.9,66.8,66.2,79.4,70.5,64.8,72.7,76.9,70.1,66.7,71.7,75.3,58.5,69,72.3,74,72.2,73.9,76.1,74.6,73,77.2,65.5,72.1,73.3,71.5,70.6,73.2,70.1,77.7,68.2,70.8,66.3,71.6,69.6,71.5,74.7,72
p_of_parents_support_public_funding_2014,84.4,82.5,77.6,83.9,84.1,86.4,79.2,86.2,84.4,92.5,89.1,88,93.4,82.7,83.9,87,75.1,74.9,87.2,86.8,84.7,83.8,88.7,89.2,82.1,81.5,82.1,85.7,76.9,82.3,87.4,82.4,91.1,84.7,89,86.2,86.1,90.1,76.9,82.8,85,86.4,70.5,82.2,87.4,86.4,79.7,81,87.8,79,82.7,84.4,81.6,84.6
p_of_parents_support_public_funding_2009,83,82,75,86,85,86,84,87,87,NA,85,87,83,78,83,80,76,79,85,83,80,86,84,81,76,84,83,79,77,84,NA,80,91,86,91,82,68,81,83,79,83,NA,86,82,70,84,84,76,84,85,80,83,76,74
p_of_parents_receive_public_funding,19.8,8.1,16.8,31.9,33,16.2,14,8.2,38.5,6.8,27.2,13.9,15.6,8.3,36.4,15.4,45.2,26.7,17.3,5.6,13.1,21.4,17.9,17.6,9.5,13.6,16.4,7.1,16.5,27.7,35.9,20.8,2.3,22.3,25.9,14.9,12.8,20.8,12.3,36.9,18.9,26.1,24.6,20.3,17.5,18.8,21.9,13.7,9.1,19.1,16.3,9.7,3.6,4.8
p_of_parents_satisfied_child_program_2014,89.1,93.8,91.3,96.6,95.4,89.7,87.8,95.9,81.3,97.2,89.5,90,89,89.7,80.1,87.7,87.2,70.1,86.1,90.6,87,86.6,92.4,88.3,94.9,93.6,90.6,93.2,96.7,91.8,96.3,86.9,91.5,90.5,91,86.7,96.8,94.9,94.3,93.1,93.1,91.5,90.4,91.4,93,92.3,87.2,91.8,95.4,87,87.1,87.5,79,66.8
p_of_parents_satisfied_child_program_2009,89,93,95,86,79,97,90,95,83,NA,86,87,93,69,74,87,92,95,90,90,84,81,93,97,94,92,84,62,97,79,87,95,90,83,NA,86,75,98,81,92,84,NA,77,92,100,90,91,86,92,92,87,81,96,77
p_of_parents_satisfied_child_program_2004,91,90,58,86,86,94,95,90,100,NA,91,82,100,93,93,80,85,100,98,96,83,96,88,91,75,87,91,80,83,100,77,91,89,92,NA,93,64,95,100,90,84,NA,100,85,91,92,88,70,93,87,100,98,90,89
p_of_parents_satisfied_program_safe,87.7,95.1,91.6,94.5,92.2,90.4,94.8,92.9,81.5,93.5,85.5,89.2,85.9,86.5,82,81.2,89.2,81,83.1,82.4,88.7,83.4,86.6,88.6,94.3,89.4,95.2,87.3,92.6,83.8,92.8,88.1,87.7,83.2,84,87.3,89.2,89.1,88.6,91.9,82,87.7,82.7,89.9,92.8,87.8,87,92,93.2,95,83,77.8,93.6,67.7
p_of_parents_satisfied_program_quality_of_care,87.5,93.5,77.4,95.1,92.5,91.7,82.5,88.3,77.1,94.9,86.4,86.4,78.7,81.5,75.2,82.9,88.2,64.6,83.5,88.1,82.1,81.4,87,86.3,91.7,93,93.3,76.8,90.8,83.9,95.6,83.6,81.2,85.7,87,75.7,86.9,88.7,88.1,89.9,82.9,72.5,85.9,95.7,95.1,89.2,91.3,89.1,88.9,87.5,81.2,82.1,89.3,65.9
ans_1_select_program,Is a safe haven,Location is convenient,Is a safe haven,My child enjoys the program,Is a safe haven,My child enjoys the program,Is a safe haven,Quality of care,Is a safe haven,Location is convenient,Quality of care,The hours meet my needs,The hours meet my needs,Homework assistance offered,The hours meet my needs,My child enjoys the program,Is a safe haven,Is a safe haven,Quality of care,The hours meet my needs,Quality of care,Is a safe haven,My child enjoys the program,Is a safe haven,Knowledgeable and well-trained staff,The hours meet my needs,Quality of care,My child enjoys the program,Location is convenient,The hours meet my needs,Is a safe haven,Location is convenient,The hours meet my needs,My child enjoys the program,My child enjoys the program,Quality of care,Quality of care,Knowledgeable and well-trained staff,Quality of care,The hours meet my needs,Is a safe haven,Is a safe haven,My child enjoys the program,Knowledgeable and well-trained staff,Is a safe haven,Location is convenient,Location is convenient,Knowledgeable and well-trained staff,Quality of care,Is a safe haven,Quality of care,Quality of care,My child enjoys the program,Quality of care
p_for_ans_1_select_program,80.6,88.2,85.9,89,87.5,84,87.9,89.8,92.1,87.9,83.2,83.9,88.8,81.2,86.3,89.9,85.5,75.2,86.8,85.4,86.1,84.6,82.6,86.6,87.8,90.4,85.4,96.3,87.4,86.8,95.2,84.9,92.1,79.8,81.2,67.9,94.4,84.3,90.5,88.8,86.4,84.4,89.8,85.4,70.6,88.1,83.8,83.9,89.3,90.2,79.7,81.7,88.4,92.2
ans_2_select_program,Quality of care,The hours meet my needs,Quality of care,Quality of care,Quality of care,Is a safe haven,Quality of care,Is a safe haven,My child enjoys the program,The hours meet my needs,Knowledgeable and well-trained staff,My child enjoys the program,Location is convenient,Opportunities for reading or writing offered,Knowledgeable and well-trained staff,Is a safe haven,My child enjoys the program,Quality of care,Knowledgeable and well-trained staff,Is a safe haven,My child enjoys the program,My child enjoys the program,Is a safe haven,Location is convenient,Quality of care,Location is convenient,Is a safe haven,Location is convenient,Knowledgeable and well-trained staff,Quality of care,My child enjoys the program,Quality of care,Location is convenient,Quality of care,Is a safe haven,Is a safe haven,My child enjoys the program,My child enjoys the program,The hours meet my needs,Is a safe haven,Quality of care,The hours meet my needs,Is a safe haven,Is a safe haven,Location is convenient,Quality of care,Is a safe haven,Quality of care,My child enjoys the program,Quality of care,My child enjoys the program,Knowledgeable and well-trained staff,Location is convenient,My child enjoys the program
p_for_ans_2_select_program,80.6,87.9,85.4,88.4,87.2,83.2,83.2,88.4,87.6,87.3,83.2,82.4,86.6,77.3,74.2,85.2,84.4,72.2,82.5,82.9,84.1,80.9,82.2,83.2,76.5,89.9,85,86.7,86.5,85,90.5,84.7,90.4,77.8,79.4,67.8,85.5,83.6,90.2,88.3,83.5,83.2,87.8,80.7,69.6,87.3,83.4,82.4,87.1,87.4,77.2,81.7,86.6,90.4
ans_3_select_program,My child enjoys the program,Quality of care,The hours meet my needs,Location is convenient,My child enjoys the program,Knowledgeable and well-trained staff,Knowledgeable and well-trained staff,Location is convenient,The hours meet my needs,Program cost,Location is convenient,Quality of care,Quality of care,Is a safe haven,Variety of activities,Quality of care,Knowledgeable and well-trained staff,The hours meet my needs,My child enjoys the program,Physical activity opportunities,Is a safe haven,Location is convenient,Quality of care,My child enjoys the program,Is a safe haven,My child enjoys the program,My child enjoys the program,Quality of care,Quality of care,Location is convenient,Quality of care,Is a safe haven,Knowledgeable and well-trained staff,Is a safe haven,Quality of care,My child enjoys the program,Knowledgeable and well-trained staff,Quality of care,My child enjoys the program,My child enjoys the program,Location is convenient,My child enjoys the program,The hours meet my needs,My child enjoys the program,Knowledgeable and well-trained staff,My child enjoys the program,My child enjoys the program,Is a safe haven,Is a safe haven,Location is convenient,Location is convenient,My child enjoys the program,Variety of activities,Is a safe haven
p_for_ans_3_select_program,80.5,85.5,79.5,86.3,84.4,83,79.6,85.9,87,82.8,82.8,82.1,85.5,76.9,69.9,81.8,84.2,72.2,81.9,75.6,81.4,80.7,81.2,82.1,75.7,87.3,84.7,83.9,85.4,84.9,90.1,83.1,84.2,76.9,77.1,67.6,85,82.7,89.6,86.9,82.9,83,87.1,77.2,69.3,86.2,83.1,80.8,85.7,84.9,76.7,79.9,82.7,85.1
ans_4_select_program,Location is convenient,Their child enjoys the afterschool program,Knowledgeable and well-trained staff,Opportunities for reading or writing offered,Program cost,Location is convenient,The hours meet parents' needs,Knowledgeable and well-trained staff,Quality of care,Is a safe haven,Is a safe haven,Is a safe haven,Is a safe haven,Program cost,Homework assistance offered,Location is convenient,Location is convenient,Location is convenient,Location is convenient,Quality of care,Knowledgeable and well-trained staff,The hours meet parents' needs,Knowledgeable and well-trained staff,Knowledgeable and well-trained staff,Variety of activities,Quality of care,Location is convenient,Variety of activities,The hours meet parents' needs,Knowledgeable and well-trained staff,The hours meet parents' needs,The hours meet parents' needs,Is a safe haven,Location is convenient,The hours meet parents' needs,Knowledgeable and well-trained staff,Is a safe haven,Is a safe haven,Is a safe haven,Quality of care,Knowledgeable and well-trained staff,Quality of care,Location is convenient,Quality of care,Quality of care,Is a safe haven,Knowledgeable and well-trained staff,The hours meet parents' needs,Knowledgeable and well-trained staff,The hours meet parents' needs,Knowledgeable and well-trained staff,Is a safe haven,Quality of care,Knowledgeable and well-trained staff
p_for_ans_4_select_program,80.1,84.1,77.3,71.5,83.6,82.5,78.8,84.3,86.8,52.1,78.6,82,84.5,70,68.7,79.9,80.7,66.7,81.7,75.4,78.5,78.4,80.2,80.6,74.5,85.9,82.9,83.3,83.3,83.9,88,80.3,83.8,74.7,75.3,66.1,82.9,80.7,87.9,85.9,80.6,76.1,84.7,76.9,66.1,85,82.7,80.8,84.2,83,75.7,79.4,73.3,82.9
ans_5_select_program,Knowledgeable and well-trained staff,Is a safe haven,Location is convenient,Is a safe haven,The hours meet parents' needs,Quality of care,Variety of activities,Their child enjoys the afterschool program,Knowledgeable and well-trained staff,Their child enjoys the afterschool program,Their child enjoys the afterschool program,Location is convenient,Their child enjoys the afterschool program,The hours meet parents' needs,Quality of care,The hours meet parents' needs,The hours meet parents' needs,Physical activity opportunities,Is a safe haven,Location is convenient,Location is convenient,Quality of care,Location is convenient,Quality of care,The hours meet parents' needs,Is a safe haven,Knowledgeable and well-trained staff,Is a safe haven,Their child enjoys the afterschool program,Physical activity opportunities,Knowledgeable and well-trained staff,Knowledgeable and well-trained staff,Quality of care,The hours meet parents' needs,Knowledgeable and well-trained staff,Program cost,Location is convenient,Location is convenient,Knowledgeable and well-trained staff,Physical activity opportunities,Their child enjoys the afterschool program,Knowledgeable and well-trained staff,Knowledgeable and well-trained staff,The hours meet parents' needs,The hours meet parents' needs,The hours meet parents' needs,The hours meet parents' needs,Location is convenient,Location is convenient,Their child enjoys the afterschool program,The hours meet parents' needs,The hours meet parents' needs,Knowledgeable and well-trained staff,The hours meet parents' needs
p_for_ans_5_select_program,79.6,82.3,76.3,71.3,80.3,82.1,74.4,82.3,83.9,52,78.5,81.9,83,68,65.5,79.7,80.7,65.9,79.6,73.9,75.1,75.5,77.5,79.4,73.7,84.9,82,83,81.3,81.7,87.9,79.6,82.4,74.5,73.7,64.2,73,79.3,87,80.4,76.6,75.6,83.7,74.9,65,84.4,82.2,79.7,82,80.7,75.3,78.8,73.2,78.8
