slug,templated,original,min,max,statePriority,priority,data.type,category,card.container,card.chart,cardTitle,is.on.demographics,is.on.city.county,question.chart,cardViewMoreInfo,questionViewMoreInfo,popoverText,questionViewTitle,HEPASpecialReport.chart,HEPASpecialReport.container,STEMNewsRelease.chart,STEMNewsRelease.container,meta.original
p_of_parents_support_public_funding_2014,<%= value %>% of parents support public funding for afterschool programs (2014),% of parents support public funding for afterschool programs,70.5,93.4,1,1,percent,support,public_support,p_of_parents_support_public_funding_,,yes,yes,p_of_parents_support_public_funding_,,"More than 5 in 6 parents report that they favor public funding for afterschool opportunities in communities where children and youth have few opportunities, up slightly from 83 percent in 2009. In 2014, just 20 percent of parents receive public funding to help pay for an afterschool program.",Parents support public funding for afterschool programs,Parents support public funding for afterschool programs,p_of_parents_support_public_funding_,public_support,none,,All Q8a.
p_of_parents_support_public_funding_2009,<%= value %>% of parents support public funding for afterschool programs (2009),2009- % of parents that support public funding for afterschool programs,68,91,1,1,percent,support,public_support,none,,no,no,none,,"More than 5 in 6 parents report that they favor public funding for afterschool opportunities in communities where children and youth have few opportunities, up slightly from 83 percent in 2010",Parents support public funding for afterschool programs,Parents support public funding for afterschool programs,none,public_support,none,,
p_of_parents_receive_public_funding,<%= value %>% of parents receive public funding to help pay for afterschool programs,% of parents that receive public funding to help pay for afterschool,2.3,45.2,9001,6,percent,support,public_support,WASp_of_parents_receive_public_funding,,yes,yes,none,,,Parents receive public funding to help pay for an afterschool program,Parents receive public funding to help pay for an afterschool program,none,public_support,none,,Participant Q3e.
p_of_parents_satisfied_child_program_2014,<%= value %>% of parents satisfied with their child's afterschool program (2014),% of parents satisfied with their in their child's primary afterschool program overall-2014,66.8,97.2,1,1,percent,benefits,parent_satisfaction,p_of_parents_satisfied_child_program_,,yes,yes,p_of_parents_satisfied_child_program_,,"Parents’ overall satisfaction with their child’s afterschool program has been high over the past decade, where approximately 9 in 10 parents surveyed in 2004, 2009 and 2014 report that they are satisfied.  ",Parents satisfied with their child’s afterschool program,Parents satisfied with their child’s afterschool program,none,parent_satisfaction,none,,Participant Q3l.
p_of_parents_satisfied_child_program_2009,<%= value %>% of parents satisfied with their child's afterschool program (2009),2009- % of parents satisfied with afterschool program overall,62,100,1,1,percent,benefits,parent_satisfaction,none,,yes,yes,none,,"Parents’ overall satisfaction with their child’s afterschool program has been high over the past decade, where approximately 9 in 10 parents surveyed in 2004, 2009 and 2014 report that they are satisfied.  ",Parents satisfied with their child’s afterschool program,Parents satisfied with their child’s afterschool program,none,parent_satisfaction,none,,
p_of_parents_satisfied_child_program_2004,<%= value %>% of parents satisfied with their child's afterschool program (2004),2004- % of parents satisfied with afterschool program overall,58,100,1,1,percent,benefits,parent_satisfaction,none,,yes,yes,none,,"Parents’ overall satisfaction with their child’s afterschool program has been high over the past decade, where approximately 9 in 10 parents surveyed in 2004, 2009 and 2014 report that they are satisfied.  ",Parents satisfied with their child’s afterschool program,Parents satisfied with their child’s afterschool program,none,parent_satisfaction,none,,
p_of_parents_satisfied_program_safe,<%= value %>% of parents satisfied with safety of their child's afterschool program,% of parents satisfied with their child's primary afterschool program's safe environment,67.7,95.2,3,3,percent,benefits,parent_satisfaction,p_of_parents_satisfied_program_safe,,yes,yes,p_of_parents_satisfied_program_safe,,,,Parents satisfied with the safe environment of their child’s afterschool program,none,parent_satisfaction,none,,Participant Q3l.
p_of_parents_satisfied_program_quality_of_care,<%= value %>% of parents satisfied with quality of their child's afterschool program,% of parents satisfied with the quality of care in their child's primary afterschool program,64.6,95.7,2,2,percent,benefits,parent_satisfaction,p_of_parents_satisfied_program_quality_of_care,,yes,yes,p_of_parents_satisfied_program_quality_of_care,,,,Parents satisfied with the quality of care of their child’s afterschool program,none,parent_satisfaction,none,,Participant Q3l.
ans_1_select_program,,Top answer for selecting an afterschool program,,,6,9001,text,benefits,parent_satisfaction,ans_1_select_program,,yes,yes,ans_1_select_program,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_1_select_program,,% for top answer for selecting an afterschool program,67.9,96.3,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_2_select_program,,Second top answer for selecting an afterschool program,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_2_select_program,,% for second top answer for selecting an afterschool program,67.8,90.5,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_3_select_program,,Third top answer for selecting an afterschool program,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_3_select_program,,% for third top answer for selecting an afterschool program,67.6,90.1,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_4_select_program,,% for third top answer for selecting an afterschool program,,,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_4_select_program,,% for third top answer for selecting an afterschool program,52.1,88,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_5_select_program,,% for third top answer for selecting an afterschool program,,,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_5_select_program,,% for third top answer for selecting an afterschool program,52,87.9,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_of_parents_program_public_school_bldg,<%= value %>% children in afterschool in 2004 ,% of parents whose child's afterschool program is located in a public school building,45.8,87.5,7,9001,percent,benefits,parent_satisfaction,p_of_parents_program_public_school_bldg,,yes,yes,p_of_parents_program_public_school_bldg,,,,% Parents whose childrens’ afterschool program is in a public school building,none,parent_satisfaction,none,,Participant Q3b.
ans_1_program_provider,,Top answer for provider of afterschool program,,,9,9001,text,benefits,parent_satisfaction,ans_1_program_provider,,yes,yes,ans_1_program_provider,,,Most common afterschool program providers,Most common afterschool program providers,none,parent_satisfaction,none,,Participant Q3a.
ans_2_program_provider,,Second top answer for provider of afterschool program,,,9001,5,text,demand,children_in_afterschool,none,,yes,yes,none,,,Most common afterschool program providers,Most common afterschool program providers,none,children_in_afterschool,none,,Participant Q3a.
ans_3_program_provider,,Third top answer for provider of afterschool program,,,9001,5,text,demand,children_in_afterschool,none,,yes,yes,none,,,Most common afterschool program providers,Most common afterschool program providers,none,children_in_afterschool,none,,Participant Q3a.
ans_4_program_provider,,"Fourth top answer for provider of afterschool program (if ""other"" is in top 3)",,,9001,5,text,demand,children_in_afterschool,none,,no,no,none,,,Most common afterschool program providers,Most common afterschool program providers,none,children_in_afterschool,none,,Participant Q3a.
p_of_boys_program,<%= value %>% of boys in afterschool programs,% of boys in afterschool programs,24.6,67.9,4,7000,percent,demand,children_in_afterschool,p_of_boys_program,,no,yes,none,,,% boys/girls in afterschool programs,% boys/girls in afterschool programs,none,children_in_afterschool,none,,
p_of_girls_program,<%= value %>% of girls in afterschool programs,% of girls in afterschool programs,32.1,75.4,4,7000,percent,demand,children_in_afterschool,none,,no,yes,none,,,% boys/girls in afterschool programs,% boys/girls in afterschool programs,none,children_in_afterschool,none,,
p_of_children_programs_qualify_federal_asst,<%= value %>% of children in afterschool programs qualify for federal free or reduced price lunch program,% of children in afterschool programs that qualify for federal free or reduced price lunch program,14.1,58.1,9001,8000,percent,demand,children_in_afterschool,WASp_of_children_programs_qualify_federal_asst,,no,no,p_of_children_programs_qualify_federal_asst,,The Federal Free or Reduced Price Lunch Program is commonly used as a proxy for families living in or near poverty.,Children in afterschool programs that qualify for the FRPL,Children in afterschool programs that qualify for the Federal Free or Reduced Price Lunch Program (FRPL),none,children_in_afterschool,none,,
avg_dolllars_spent_per_week_program,$<%= value %> spent per week on afterschool programs on average,Average amount spent per week on afterschool programs $,42.9,236.6,6,9001,dollars,demand,children_in_afterschool,avg_dolllars_spent_per_week_program,,yes,yes,avg_dolllars_spent_per_week_program,,"The average weekly cost only includes parents who report that they pay a fee for their child’s afterschool program.  One in 5 parents surveyed report receiving government assistance to pay for their child’s afterschool program, at an average of $113.20 per week.",Average amount parents spend per week on afterschool programs,Average amount parents spend per week on afterschool programs,none,children_in_afterschool,none,,
num_households_surveyed_2014,<%= value %> households surveyed,Number of households surveyed- 2014,127,854,9001,5,number,meta,,none,,yes,yes,num_households_surveyed_,,,Number of households surveyed,Number of households surveyed,none,,none,,
num_children_screened_2014,<%= value %> children screened (2014),Number of children screened- 2014,342,4189,9001,5,number,meta,,none,,no,no,num_children_screened_,,,Number of children screened,Number of children screened,none,,none,,
err_margin_households_surveyed_2014,<%= value %>% Margin of error for households surveyed,Margin of error for households surveyed is +/-,2.1,7.1,9001,5,percent,meta,,none,,yes,yes,err_margin_households_surveyed_,,,Margin of error for households surveyed,Margin of error for households surveyed,none,,none,,
err_margin_children_screened_2014,<%= value %>% Margin of error for children screened,Margin of error for children screened is +/-,4.7,4.8,9001,5,percent,meta,,none,,no,no,err_margin_children_screened_,,,Margin of error for children screened,Margin of error for children screened,none,,none,,
p_of_children_alone_2014_6_to_8,<%= value %>% of children are unsupervised after school <br/>(Grades 6-8),,6.1,46.8,4,5,percent,demand,unmet_demand,none,,no,no,none,,,Children unsupervised after school (Grades 6-8),Children unsupervised after school (Grades 6-8),none,,none,,
p_of_children_alone_2014_9_to_12,<%= value %>% of children are unsupervised after school <br/>(Grades 9-12),,22.8,57.9,4,5,percent,demand,unmet_demand,none,,no,no,none,,,Children unsupervised after school (Grades 9-12),Children unsupervised after school (Grades 9-12),none,,none,,
p_of_children_alone_2014_k_to_5,<%= value %>% of children are unsupervised after school <br/>(Grades K-5),,0.6,17.2,4,5,percent,demand,unmet_demand,p_of_children_alone_2014_,,no,no,none,,,Children unsupervised after school (Grades K-5),Children unsupervised after school (Grades K-5),none,,none,,
p_of_children_in_programs_2014_6_to_8,<%= value %>% children in an afterschool program <br/>(Grades 6-8),,5.7,45.3,2,5,percent,demand,children_in_afterschool,p_of_children_in_programs_2014_,,no,no,none,,,Children in an afterschool program (Grades 6-8),Children in an afterschool program (Grades 6-8),none,children_in_afterschool,none,,
p_of_children_in_programs_2014_9_to_12,<%= value %>% children in an afterschool program <br/>(Grades 9-12),,2.8,21.2,2,5,percent,demand,children_in_afterschool,none,,no,no,none,,,Children in an afterschool program (Grades 9-12),Children in an afterschool program (Grades 9-12),none,children_in_afterschool,none,,
p_of_children_in_programs_2014_k_to_5,<%= value %>% children in an afterschool program <br/>(Grades K-5),,10.8,41,2,5,percent,demand,children_in_afterschool,none,,no,no,none,,,Children in an afterschool program (Grades K-5),Children in an afterschool program (Grades K-5),none,children_in_afterschool,none,,
p_of_children_would_be_enrolled_2014_6_to_8,<%= value %>% of children would participate if an afterschool program were available <br/>(Grades 6-8),,19,71.7,2,5,percent,demand,unmet_demand,p_of_children_would_be_enrolled_2014_,"Children who would participate if an afterschool program were available, by grade level",no,no,none,,,,Children who would participate if an afterschool program were available (Grades 6-8),none,,none,,
p_of_children_would_be_enrolled_2014_9_to_12,<%= value %>% of children would participate if an afterschool program were available <br/>(Grades 9-12),,8.7,53.2,2,5,percent,demand,unmet_demand,none,"Children who would participate if an afterschool program were available, by grade level",no,no,none,,,,Children who would participate if an afterschool program were available (Grades 9-12),none,,none,,
p_of_children_would_be_enrolled_2014_k_to_5,<%= value %>% of children would participate if an afterschool program were available <br/>(Grades K-5),Margin of error for children screened is +/-,30.1,75.7,2,5,percent,demand,unmet_demand,none,"Children who would participate if an afterschool program were available, by grade level",no,no,none,,,,Children who would participate if an afterschool program were available (Grades K-5),none,,none,,
p_of_parents_working_parents_peace,<%= value %>% of parents agree that afterschool programs help give working parents peace of mind when they are at work (2014),% of parents agree after school programs help give working parents peace of mind when they are at work,61,83.4,2,2,percent,support,public_support,p_of_parents_working_parents_peace,,yes,yes,p_of_parents_working_parents_peace,of parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.,,,Parents agree that afterschool programs help give working parents peace of mind when they are at work,p_of_parents_working_parents_peace,public_support,none,,
p_of_parents_working_parents_keep_jobs,<%= value %>% of parents agree that afterschool programs help working parents keep their jobs (2014),% of parents agree after school programs help working parents keep their jobs,59.6,83.8,3,3,percent,support,public_support,p_of_parents_working_parents_keep_jobs,,yes,yes,p_of_parents_working_parents_keep_jobs,of parents agree that afterschool programs help parents keep their jobs.,,,Parents agree that afterschool programs help working parents keep their jobs,p_of_parents_working_parents_keep_jobs,public_support,none,,
just_text_demand_unmet,,,,,5,9001,text,demand,unmet_demand,just_text_demand_unmet,,no,no,none,,,none,none,none,,none,,
just_text_demand_children_in_afterschool,,0,,,5,9001,text,demand,children_in_afterschool,just_text_demand_children_in_afterschool,,no,no,none,,,none,none,none,children_in_afterschool,none,,
p_of_parents_agree_should_provide_snacks,"<%= value %>% of parents agree that afterschool programs should provide children healthy beverages, snacks and/or meals","% of parents agree that afterschool programs should provide children healthy beverages, snacks and/or meals",56,80,1,1,percent,health,healthy_eating,p_of_parents_agree_should_provide_snacks,"Parents agree that afterschool programs should provide children healthy beverages, snacks and/or meals ",yes,yes,p_of_parents_agree_should_provide_snacks,,,,"Parents agree that afterschool programs should provide children healthy beverages, snacks and/or meals ",none,healthy_eating,none,,
p_of_parents_programs_offers_snacks,"<%= value %>% of parents say their child’s afterschool program offers beverages, snacks and/or meals","% of parents whose child’s afterschool program offers beverages, snacks and/or meals",44,89,4,4,percent,health,healthy_eating,p_of_parents_programs_offers_snacks,"Parents whose child’s afterschool program offers beverages, snacks and/or meals",yes,yes,p_of_parents_programs_offers_snacks,,,,"Parents whose child’s afterschool program offers beverages, snacks and/or meals",p_of_parents_programs_offers_snacks,healthy_eating,none,,
p_of_parents_satisfied_programs_snacks,<%= value %>% of parents are satisfied with the snacks and/or meals at their child’s afterschool program,% of parents satisfied with the snacks and/or meals at their child’s afterschool program,44,90,8,7,percent,health,healthy_eating,health_snacks_double,Parents satisfied with the food in their child’s afterschool program,yes,yes,health_snacks_double,"Healthy foods were described as, “minimally processed foods made with whole grains and heart healthy fats or oils and without added sugar or trans fats; fruits and vegetables; and beverages made without added sugar.”","Healthy foods were described as, “minimally processed foods made with whole grains and heart healthy fats or oils and without added sugar or trans fats; fruits and vegetables; and beverages made without added sugar.”",,Parents satisfied with the food in their child’s afterschool program,none,healthy_eating,none,,
p_of_parents_satisfied_healthy_snacks,<%= value %>% of parents are satisfied that the snacks and/or meals at their child’s afterschool program are healthy,% of parents satisfied that the snacks and/or meals at their child’s afterschool program are healthy,41,89,16,15,percent,health,healthy_eating,none,Parents satisfied that the snacks and/or meals at their child’s afterschool program are healthy,yes,yes,none,"Healthy foods were described as, “minimally processed foods made with whole grains and heart healthy fats or oils and without added sugar or trans fats; fruits and vegetables; and beverages made without added sugar.”","Healthy foods were described as, “minimally processed foods made with whole grains and heart healthy fats or oils and without added sugar or trans fats; fruits and vegetables; and beverages made without added sugar.”",,Parents satisfied that the snacks and/or meals at their child’s afterschool program are healthy,p_of_parents_satisfied_healthy_snacks,physical_activity,none,,
p_of_parents_snacks_important,<%= value %>% of parents say that the afterschool program providing snacks or meals was very important in choosing their child’s program,% of parents say that the afterschool program providing snacks or meals was very important in choosing their child’s program,28,73,24,24,percent,health,healthy_eating,p_of_parents_snacks_important,Parents say that afterschool programs providing snacks/meals was very important in choosing their child’s program,yes,yes,none,,,,Parents say that afterschool programs providing snacks/meals was very important in choosing their child’s program,none,healthy_eating,none,,
p_of_parents_healthy_snacks_important,<%= value %>% of parents say that the afterschool program providing healthy snacks or meals was very important in choosing their child’s program,% of parents say that the afterschool program providing healthy snacks or meals was very important in choosing their child’s program,34,74,36,36,percent,health,healthy_eating,p_of_parents_healthy_snacks_important,Parents say that afterschool programs providing healthy snacks/meals was very important in choosing their child’s program,yes,yes,none,,,,Parents say that afterschool programs providing healthy snacks/meals was very important in choosing their child’s program,none,healthy_eating,none,,
p_of_parents_agree_should_provide_physical,<%= value %>% of parents agree that afterschool programs should provide children opportunities to be physically active,% of parents agree that afterschool programs should provide children opportunities to be physically active,68,91,1,1,percent,health,physical_activity,p_of_parents_agree_should_provide_physical,Parents agree that afterschool programs should provide children opportunities to be physically active ,yes,yes,p_of_parents_agree_should_provide_physical,,,,Parents agree that afterschool programs should provide children opportunities to be physically active ,none,physical_activity,none,,
