"slug","state","answer"
"p_of_children_alone_2014_6_to_8","National","19.0"
"p_of_children_alone_2014_9_to_12","National","37.0"
"p_of_children_alone_2014_k_to_5","National","3"
"p_of_children_in_programs_2014_6_to_8","National","19.0"
"p_of_children_in_programs_2014_9_to_12","National","12.0"
"p_of_children_in_programs_2014_k_to_5","National","23"
"p_of_children_would_be_enrolled_2014_6_to_8","National","40.0"
"p_of_children_would_be_enrolled_2014_9_to_12","National","37.0"
"p_of_children_would_be_enrolled_2014_k_to_5","National","47.0"
"is_top_ten","National","FALSE"
"p_of_parents_working_parents_peace","National","75.3"
"p_of_parents_working_parents_keep_jobs","National","74.4"
"real_of_children_in_programs_2014","National","10.2 million"
"real_of_children_would_be_enrolled_2014","National","19.4 million"
"real_of_children_alone_2014","National","11.3 million"
"intro_text","National",""
"p_of_parents_agree_should_provide_snacks","National","71"
"p_of_parents_programs_offers_snacks","National","72"
"p_of_parents_satisfied_programs_snacks","National","76"
"p_of_parents_satisfied_healthy_snacks","National","74"
"p_of_parents_snacks_important","National","56"
"p_of_parents_healthy_snacks_important","National","62"
"p_of_parents_agree_should_provide_physical","National","80"
"p_of_parents_programs_offers_physical","National","80"
"p_of_parents_satisfied_programs_physical_amount","National","79"
"p_of_parents_satisfied_programs_physical_variety","National","79"
"p_of_parents_physical_important","National","68"
"p_family_child_summer_2013","National","33"
"p_family_child_summer_2008","National","25"
"p_family_want_summer","National","51"
"p_of_parents_agree_summer_academic","National","73"
"avg_hr_per_day_summer","National","4.96"
"avg_weeks_per_summer","National","5.16"
"avg_dollars_per_week_summer","National","288.1"
"p_of_parents_support_public_funding_summer","National","85"
"p_of_parents_support_public_funding_summer_2009","National","83"
"p_of_parents_report_stem_learning_opp","National","69"
"p_of_parents_satisfied_stem_program","National","69"
"p_of_parents_consider_stem_as_factor","National","53"
"p_of_parents_agree_children_gain_stem","National","65"
"p_of_parents_agree_should_provide_stem","National","70"
"p_of_children_in_programs_2014","AL","13.4"
"p_of_children_in_programs_2009","AL","15"
"p_of_children_in_programs_2004","AL","10"
"avg_hr_per_week_in_programs","AL","9.2"
"avg_day_per_week_in_programs","AL","3.96"
"p_of_children_would_be_enrolled_2014","AL","40.5"
"p_of_children_would_be_enrolled_2009","AL","36"
"p_of_children_would_be_enrolled_2004","AL","29"
"p_of_children_alone_2014","AL","18.9"
"p_of_children_alone_2009","AL","27"
"p_of_children_alone_2004","AL","20"
"avg_hr_per_week_alone","AL","8.11"
"reason_1_not_enrolling_child","AL","Preference for alternative activities"
"reason_2_not_enrolling_child","AL","Afterschool programs would not benefit their child"
"reason_3_not_enrolling_child","AL",""
"ans_1_type_activity","AL","Opportunities for physical activity"
"p_for_ans_1_type_activity","AL","94.1"
"ans_2_type_activity","AL","Homework assistance"
"p_for_ans_2_type_activity","AL","90.1"
"ans_3_type_activity","AL","Opportunities for reading or writing"
"p_for_ans_3_type_activity","AL","87.2"
"ans_4_type_activity","AL","Beverages, snacks and/or meals"
"p_for_ans_4_type_activity","AL","84.6"
"ans_5_type_activity","AL","STEM learning opportunities"
"p_for_ans_5_type_activity","AL","83"
"p_of_parents_programs_excite_abt_learning","AL","56.6"
"p_of_parents_programs_help_child_gain_skills","AL","64.6"
"p_of_parents_programs_reduce_risky","AL","62.1"
"p_of_parents_support_public_funding_2014","AL","82.5"
"p_of_parents_support_public_funding_2009","AL","82"
"p_of_parents_receive_public_funding","AL","8.1"
"p_of_parents_satisfied_child_program_2014","AL","93.8"
"p_of_parents_satisfied_child_program_2009","AL","93"
"p_of_parents_satisfied_child_program_2004","AL","90"
"p_of_parents_satisfied_program_safe","AL","95.1"
"p_of_parents_satisfied_program_quality_of_care","AL","93.5"
"ans_1_select_program","AL","Location is convenient"
"p_for_ans_1_select_program","AL","88.2"
"ans_2_select_program","AL","The hours meet my needs"
"p_for_ans_2_select_program","AL","87.9"
"ans_3_select_program","AL","Quality of care"
"p_for_ans_3_select_program","AL","85.5"
"ans_4_select_program","AL","Their child enjoys the afterschool program"
"p_for_ans_4_select_program","AL","84.1"
"ans_5_select_program","AL","Is a safe haven"
"p_for_ans_5_select_program","AL","82.3"
"p_of_parents_program_public_school_bldg","AL","75.8"
"ans_1_program_provider","AL","Afterschool program run by a public school"
"ans_2_program_provider","AL","Afterschool program run by religious organization"
"ans_3_program_provider","AL","Boys & Girls Club afterschool program"
"ans_4_program_provider","AL",""
"p_of_boys_program","AL","41.1"
"p_of_girls_program","AL","58.9"
"p_of_children_programs_qualify_federal_asst","AL","33.8"
"avg_dolllars_spent_per_week_program","AL","100.8"
"num_households_surveyed_2014","AL","203"
"num_children_screened_2014","AL","793"
"err_margin_households_surveyed_2014","AL","4.8"
"err_margin_children_screened_2014","AL","3.6"
"p_of_children_alone_2014_6_to_8","AL","11.6"
"p_of_children_alone_2014_9_to_12","AL","31.7"
"p_of_children_alone_2014_k_to_5","AL","1.6"
"p_of_children_in_programs_2014_6_to_8","AL","11.6"
"p_of_children_in_programs_2014_9_to_12","AL","8.1"
"p_of_children_in_programs_2014_k_to_5","AL","18.1"
"p_of_children_would_be_enrolled_2014_6_to_8","AL","40.1"
"p_of_children_would_be_enrolled_2014_9_to_12","AL","36.3"
"p_of_children_would_be_enrolled_2014_k_to_5","AL","43.8"
"is_top_ten","AL","FALSE"
"p_of_parents_working_parents_peace","AL","76.9"
"p_of_parents_working_parents_keep_jobs","AL","79.5"
"real_of_children_in_programs_2014","AL","104,968"
"real_of_children_would_be_enrolled_2014","AL","274,742"
"real_of_children_alone_2014","AL","148,052"
"intro_text","AL","After climbing from an afterschool program participation rate of 10 percent in 2004 to 15 percent in 2009, Alabama lost ground in afterschool program participation in 2014, dropping back down to 13 percent.  However, parents who are able to take advantage of afterschool programs in the state are satisfied with their child’s program.  Ninety-four percent of Alabama parents surveyed are satisfied with their child’s afterschool program—5 percentage points higher than the national average.  Unmet demand for afterschool programs in Alabama continues to grow, increasing from 29 percent in 2004 to 36 percent in 2009 to 41 percent in 2014. "
"p_of_parents_agree_should_provide_snacks","AL","67"
"p_of_parents_programs_offers_snacks","AL","85"
"p_of_parents_satisfied_programs_snacks","AL","76"
"p_of_parents_satisfied_healthy_snacks","AL","80"
"p_of_parents_snacks_important","AL","73"
"p_of_parents_healthy_snacks_important","AL","74"
"p_of_parents_agree_should_provide_physical","AL","79"
"p_of_parents_programs_offers_physical","AL","94"
"p_of_parents_satisfied_programs_physical_amount","AL","86"
"p_of_parents_satisfied_programs_physical_variety","AL","86"
"p_of_parents_physical_important","AL","72"
"p_family_child_summer_2013","AL","32"
"p_family_child_summer_2008","AL","21"
"p_family_want_summer","AL","50"
"p_of_parents_agree_summer_academic","AL","71"
"avg_hr_per_day_summer","AL","4.62"
"avg_weeks_per_summer","AL","5.24"
"avg_dollars_per_week_summer","AL","171.5"
"p_of_parents_support_public_funding_summer","AL","82"
"p_of_parents_support_public_funding_summer_2009","AL","82"
"p_of_parents_report_stem_learning_opp","AL","83"
"p_of_parents_satisfied_stem_program","AL","78"
"p_of_parents_consider_stem_as_factor","AL","68"
"p_of_parents_agree_children_gain_stem","AL","61"
"p_of_parents_agree_should_provide_stem","AL","65"
"p_of_children_in_programs_2014","AK","19.4"
"p_of_children_in_programs_2009","AK","18"
"p_of_children_in_programs_2004","AK","21"
"avg_hr_per_week_in_programs","AK","6.1"
"avg_day_per_week_in_programs","AK","3.55"
"p_of_children_would_be_enrolled_2014","AK","42.6"
"p_of_children_would_be_enrolled_2009","AK","35"
"p_of_children_would_be_enrolled_2004","AK","31"
"p_of_children_alone_2014","AK","23.8"
"p_of_children_alone_2009","AK","40"
"p_of_children_alone_2004","AK","20"
"avg_hr_per_week_alone","AK","7.82"
"reason_1_not_enrolling_child","AK","Preference for alternative activities"
"reason_2_not_enrolling_child","AK","Lack of a safe way for child to get to and come home from afterschool programs"
"reason_3_not_enrolling_child","AK",""
"ans_1_type_activity","AK","Opportunities for physical activity"
"p_for_ans_1_type_activity","AK","87.9"
"ans_2_type_activity","AK","Homework assistance"
"p_for_ans_2_type_activity","AK","70.1"
"ans_3_type_activity","AK","Music or art"
"p_for_ans_3_type_activity","AK","68.7"
"ans_4_type_activity","AK","STEM learning opportunities"
"p_for_ans_4_type_activity","AK","65.9"
"ans_5_type_activity","AK","Academic programs/clubs"
"p_for_ans_5_type_activity","AK","63.3"
"p_of_parents_programs_excite_abt_learning","AK","57.9"
"p_of_parents_programs_help_child_gain_skills","AK","67.4"
"p_of_parents_programs_reduce_risky","AK","66.6"
"p_of_parents_support_public_funding_2014","AK","77.6"
"p_of_parents_support_public_funding_2009","AK","75"
"p_of_parents_receive_public_funding","AK","16.8"
"p_of_parents_satisfied_child_program_2014","AK","91.3"
"p_of_parents_satisfied_child_program_2009","AK","95"
"p_of_parents_satisfied_child_program_2004","AK","58"
"p_of_parents_satisfied_program_safe","AK","91.6"
"p_of_parents_satisfied_program_quality_of_care","AK","77.4"
"ans_1_select_program","AK","Is a safe haven"
"p_for_ans_1_select_program","AK","85.9"
"ans_2_select_program","AK","Quality of care"
"p_for_ans_2_select_program","AK","85.4"
"ans_3_select_program","AK","The hours meet my needs"
"p_for_ans_3_select_program","AK","79.5"
"ans_4_select_program","AK","Knowledgeable and well-trained staff"
"p_for_ans_4_select_program","AK","77.3"
"ans_5_select_program","AK","Location is convenient"
"p_for_ans_5_select_program","AK","76.3"
"p_of_parents_program_public_school_bldg","AK","87.5"
"ans_1_program_provider","AK","Afterschool program run by a public school"
"ans_2_program_provider","AK","Afterschool program run by city or town (including Parks and Recreation Department)"
"ans_3_program_provider","AK","Other"
"ans_4_program_provider","AK","Boys & Girls Club afterschool program"
"p_of_boys_program","AK","49.7"
"p_of_girls_program","AK","50.3"
"p_of_children_programs_qualify_federal_asst","AK","32.3"
"avg_dolllars_spent_per_week_program","AK","145.9"
"num_households_surveyed_2014","AK","207"
"num_children_screened_2014","AK","449"
"err_margin_households_surveyed_2014","AK","6.9"
"err_margin_children_screened_2014","AK","4.7"
"p_of_children_alone_2014_6_to_8","AK","32.1"
"p_of_children_alone_2014_9_to_12","AK","46.2"
"p_of_children_alone_2014_k_to_5","AK","4.9"
"p_of_children_in_programs_2014_6_to_8","AK","22.9"
"p_of_children_in_programs_2014_9_to_12","AK","18.8"
"p_of_children_in_programs_2014_k_to_5","AK","20.3"
"p_of_children_would_be_enrolled_2014_6_to_8","AK","47.7"
"p_of_children_would_be_enrolled_2014_9_to_12","AK","35.6"
"p_of_children_would_be_enrolled_2014_k_to_5","AK","43.7"
"is_top_ten","AK","FALSE"
"p_of_parents_working_parents_peace","AK","78"
"p_of_parents_working_parents_keep_jobs","AK","75.1"
"real_of_children_in_programs_2014","AK","25,631"
"real_of_children_would_be_enrolled_2014","AK","45,365"
"real_of_children_alone_2014","AK","31,445"
"intro_text","AK","After losing ground in afterschool program participation from 2004 to 2009, the percentage of Alaska children taking part in an afterschool program crept up slightly, from 18 percent in 2009 to 19 percent in 2014.  The percentage of Alaska parents satisfied with their child’s afterschool program remains above the national average–more than 9 in 10 parents.  Alaska also saw an increase in the percentage of parents extremely satisfied with their child’s afterschool program (74 percent), taking the number one spot in the nation.    "
"p_of_parents_agree_should_provide_snacks","AK","70"
"p_of_parents_programs_offers_snacks","AK","56"
"p_of_parents_satisfied_programs_snacks","AK","72"
"p_of_parents_satisfied_healthy_snacks","AK","80"
"p_of_parents_snacks_important","AK","50"
"p_of_parents_healthy_snacks_important","AK","51"
"p_of_parents_agree_should_provide_physical","AK","84"
"p_of_parents_programs_offers_physical","AK","88"
"p_of_parents_satisfied_programs_physical_amount","AK","91"
"p_of_parents_satisfied_programs_physical_variety","AK","89"
"p_of_parents_physical_important","AK","67"
"p_family_child_summer_2013","AK","34"
"p_family_child_summer_2008","AK","24"
"p_family_want_summer","AK","55"
"p_of_parents_agree_summer_academic","AK","71"
"avg_hr_per_day_summer","AK","5.22"
"avg_weeks_per_summer","AK","4.21"
"avg_dollars_per_week_summer","AK","561.5"
"p_of_parents_support_public_funding_summer","AK","79"
"p_of_parents_support_public_funding_summer_2009","AK","76"
"p_of_parents_report_stem_learning_opp","AK","66"
"p_of_parents_satisfied_stem_program","AK","70"
"p_of_parents_consider_stem_as_factor","AK","54"
"p_of_parents_agree_children_gain_stem","AK","62"
"p_of_parents_agree_should_provide_stem","AK","66"
"p_of_children_in_programs_2014","AZ","16.1"
"p_of_children_in_programs_2009","AZ","16"
"p_of_children_in_programs_2004","AZ","12"
"avg_hr_per_week_in_programs","AZ","6.79"
"avg_day_per_week_in_programs","AZ","3.23"
"p_of_children_would_be_enrolled_2014","AZ","34.2"
"p_of_children_would_be_enrolled_2009","AZ","34"
"p_of_children_would_be_enrolled_2004","AZ","30"
"p_of_children_alone_2014","AZ","19.3"
"p_of_children_alone_2009","AZ","22"
"p_of_children_alone_2004","AZ","30"
"avg_hr_per_week_alone","AZ","5.64"
"reason_1_not_enrolling_child","AZ","Preference for alternative activities"
"reason_2_not_enrolling_child","AZ","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","AZ",""
"ans_1_type_activity","AZ","Opportunities for physical activity"
"p_for_ans_1_type_activity","AZ","77.6"
"ans_2_type_activity","AZ","Homework assistance"
"p_for_ans_2_type_activity","AZ","70.3"
"ans_3_type_activity","AZ","Opportunities for reading or writing"
"p_for_ans_3_type_activity","AZ","65"
"ans_4_type_activity","AZ","Music or art"
"p_for_ans_4_type_activity","AZ","63.7"
"ans_5_type_activity","AZ","Parent/family activities"
"p_for_ans_5_type_activity","AZ","52.9"
"p_of_parents_programs_excite_abt_learning","AZ","71.5"
"p_of_parents_programs_help_child_gain_skills","AZ","71.1"
"p_of_parents_programs_reduce_risky","AZ","69.4"
"p_of_parents_support_public_funding_2014","AZ","83.9"
"p_of_parents_support_public_funding_2009","AZ","86"
"p_of_parents_receive_public_funding","AZ","31.9"
"p_of_parents_satisfied_child_program_2014","AZ","96.6"
"p_of_parents_satisfied_child_program_2009","AZ","86"
"p_of_parents_satisfied_child_program_2004","AZ","86"
"p_of_parents_satisfied_program_safe","AZ","94.5"
"p_of_parents_satisfied_program_quality_of_care","AZ","95.1"
"ans_1_select_program","AZ","My child enjoys the program"
"p_for_ans_1_select_program","AZ","89"
"ans_2_select_program","AZ","Quality of care"
"p_for_ans_2_select_program","AZ","88.4"
"ans_3_select_program","AZ","Location is convenient"
"p_for_ans_3_select_program","AZ","86.3"
"ans_4_select_program","AZ","Opportunities for reading or writing offered"
"p_for_ans_4_select_program","AZ","71.5"
"ans_5_select_program","AZ","Is a safe haven"
"p_for_ans_5_select_program","AZ","71.3"
"p_of_parents_program_public_school_bldg","AZ","45.8"
"ans_1_program_provider","AZ","Afterschool program run by a public school"
"ans_2_program_provider","AZ","Afterschool program run by city or town (including Parks and Recreation Department)"
"ans_3_program_provider","AZ","Afterschool program run by private school"
"ans_4_program_provider","AZ",""
"p_of_boys_program","AZ","58.8"
"p_of_girls_program","AZ","41.2"
"p_of_children_programs_qualify_federal_asst","AZ","53.3"
"avg_dolllars_spent_per_week_program","AZ","103.6"
"num_households_surveyed_2014","AZ","261"
"num_children_screened_2014","AZ","1117"
"err_margin_households_surveyed_2014","AZ","4"
"err_margin_children_screened_2014","AZ","3"
"p_of_children_alone_2014_6_to_8","AZ","8.3"
"p_of_children_alone_2014_9_to_12","AZ","37"
"p_of_children_alone_2014_k_to_5","AZ","2.9"
"p_of_children_in_programs_2014_6_to_8","AZ","16.6"
"p_of_children_in_programs_2014_9_to_12","AZ","10.6"
"p_of_children_in_programs_2014_k_to_5","AZ","21.4"
"p_of_children_would_be_enrolled_2014_6_to_8","AZ","37.2"
"p_of_children_would_be_enrolled_2014_9_to_12","AZ","37"
"p_of_children_would_be_enrolled_2014_k_to_5","AZ","32"
"is_top_ten","AZ","TRUE"
"p_of_parents_working_parents_peace","AZ","71.5"
"p_of_parents_working_parents_keep_jobs","AZ","73.1"
"real_of_children_in_programs_2014","AZ","178,554"
"real_of_children_would_be_enrolled_2014","AZ","318,223"
"real_of_children_alone_2014","AZ","214,043"
"intro_text","AZ","The exceptionally high number of parents who report satisfaction with various aspects of their child’s afterschool program drives Arizona’s number six ranking in the top 10 states for afterschool.  Arizona parents who report they are extremely satisfied with their child’s afterschool program overall almost doubled between 2009 and 2014.   However, while parent satisfaction with their child’s afterschool program has increased, the percentage of Arizona children in an afterschool program has stayed level from 2009 to 2014 and the average number of hours children spend in afterschool programs in Arizona dropped significantly, from more than 11 hours in 2009 to 6.79 hours in 2014.  "
"p_of_parents_agree_should_provide_snacks","AZ","72"
"p_of_parents_programs_offers_snacks","AZ","46"
"p_of_parents_satisfied_programs_snacks","AZ","90"
"p_of_parents_satisfied_healthy_snacks","AZ","89"
"p_of_parents_snacks_important","AZ","57"
"p_of_parents_healthy_snacks_important","AZ","60"
"p_of_parents_agree_should_provide_physical","AZ","82"
"p_of_parents_programs_offers_physical","AZ","78"
"p_of_parents_satisfied_programs_physical_amount","AZ","89"
"p_of_parents_satisfied_programs_physical_variety","AZ","90"
"p_of_parents_physical_important","AZ","68"
"p_family_child_summer_2013","AZ","35"
"p_family_child_summer_2008","AZ","22"
"p_family_want_summer","AZ","54"
"p_of_parents_agree_summer_academic","AZ","75"
"avg_hr_per_day_summer","AZ","4.4"
"avg_weeks_per_summer","AZ","5.2"
"avg_dollars_per_week_summer","AZ","413.6"
"p_of_parents_support_public_funding_summer","AZ","87"
"p_of_parents_support_public_funding_summer_2009","AZ","85"
"p_of_parents_report_stem_learning_opp","AZ","46"
"p_of_parents_satisfied_stem_program","AZ","89"
"p_of_parents_consider_stem_as_factor","AZ","59"
"p_of_parents_agree_children_gain_stem","AZ","66"
"p_of_parents_agree_should_provide_stem","AZ","71"
"p_of_children_in_programs_2014","AR","13.3"
"p_of_children_in_programs_2009","AR","12"
"p_of_children_in_programs_2004","AR","8"
"avg_hr_per_week_in_programs","AR","6.25"
"avg_day_per_week_in_programs","AR","3.64"
"p_of_children_would_be_enrolled_2014","AR","44.9"
"p_of_children_would_be_enrolled_2009","AR","44"
"p_of_children_would_be_enrolled_2004","AR","33"
"p_of_children_alone_2014","AR","13.3"
"p_of_children_alone_2009","AR","26"
"p_of_children_alone_2004","AR","18"
"avg_hr_per_week_alone","AR","7.73"
"reason_1_not_enrolling_child","AR","Preference for alternative activities"
"reason_2_not_enrolling_child","AR","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","AR",""
"ans_1_type_activity","AR","Opportunities for physical activity"
"p_for_ans_1_type_activity","AR","90.6"
"ans_2_type_activity","AR","Beverages, snacks and/or meals"
"p_for_ans_2_type_activity","AR","81.8"
"ans_3_type_activity","AR","Homework assistance"
"p_for_ans_3_type_activity","AR","79"
"ans_4_type_activity","AR","Music or art"
"p_for_ans_4_type_activity","AR","78.8"
"ans_5_type_activity","AR","Opportunities for reading or writing"
"p_for_ans_5_type_activity","AR","74.2"
"p_of_parents_programs_excite_abt_learning","AR","62.7"
"p_of_parents_programs_help_child_gain_skills","AR","62.5"
"p_of_parents_programs_reduce_risky","AR","73.5"
"p_of_parents_support_public_funding_2014","AR","84.1"
"p_of_parents_support_public_funding_2009","AR","85"
"p_of_parents_receive_public_funding","AR","33"
"p_of_parents_satisfied_child_program_2014","AR","95.4"
"p_of_parents_satisfied_child_program_2009","AR","79"
"p_of_parents_satisfied_child_program_2004","AR","86"
"p_of_parents_satisfied_program_safe","AR","92.2"
"p_of_parents_satisfied_program_quality_of_care","AR","92.5"
"ans_1_select_program","AR","Is a safe haven"
"p_for_ans_1_select_program","AR","87.5"
"ans_2_select_program","AR","Quality of care"
"p_for_ans_2_select_program","AR","87.2"
"ans_3_select_program","AR","My child enjoys the program"
"p_for_ans_3_select_program","AR","84.4"
"ans_4_select_program","AR","Program cost"
"p_for_ans_4_select_program","AR","83.6"
"ans_5_select_program","AR","The hours meet parents' needs"
"p_for_ans_5_select_program","AR","80.3"
"p_of_parents_program_public_school_bldg","AR","81.8"
"ans_1_program_provider","AR","Afterschool program run by a public school"
"ans_2_program_provider","AR","Boys & Girls Club afterschool program"
"ans_3_program_provider","AR","YMCA afterschool program"
"ans_4_program_provider","AR",""
"p_of_boys_program","AR","59.6"
"p_of_girls_program","AR","40.4"
"p_of_children_programs_qualify_federal_asst","AR","51.9"
"avg_dolllars_spent_per_week_program","AR","71.2"
"num_households_surveyed_2014","AR","200"
"num_children_screened_2014","AR","664"
"err_margin_households_surveyed_2014","AR","5.6"
"err_margin_children_screened_2014","AR","3.9"
"p_of_children_alone_2014_6_to_8","AR","18.1"
"p_of_children_alone_2014_9_to_12","AR","35.6"
"p_of_children_alone_2014_k_to_5","AR","3.1"
"p_of_children_in_programs_2014_6_to_8","AR","14.1"
"p_of_children_in_programs_2014_9_to_12","AR","10.8"
"p_of_children_in_programs_2014_k_to_5","AR","14"
"p_of_children_would_be_enrolled_2014_6_to_8","AR","45.2"
"p_of_children_would_be_enrolled_2014_9_to_12","AR","39.5"
"p_of_children_would_be_enrolled_2014_k_to_5","AR","48.6"
"is_top_ten","AR","FALSE"
"p_of_parents_working_parents_peace","AR","73.7"
"p_of_parents_working_parents_keep_jobs","AR","79.1"
"real_of_children_in_programs_2014","AR","65,107"
"real_of_children_would_be_enrolled_2014","AR","190,563"
"real_of_children_alone_2014","AR","65,107"
"intro_text","AR","Arkansas has seen a steady increase in the percentage of children participating in an afterschool program—growing from 8 percent in 2004 to 12 percent in 2009 to 13 percent in 2014.  However, Arkansas’ afterschool participation rate still falls well below the national average of 18 percent.  The average time Arkansas children spend in an afterschool program also falls below the national average in 2014, decreasing from approximately 7 hours per week to just more than 6 hours.  Additionally, unmet demand for afterschool programs in Arkansas continues to increase.  In 2004, 33 percent of children not enrolled in an afterschool program would participate if a program were available in their community.  In 2014, 45 percent of Arkansas children not in an afterschool program would be enrolled if one were available.  "
"p_of_parents_agree_should_provide_snacks","AR","70"
"p_of_parents_programs_offers_snacks","AR","82"
"p_of_parents_satisfied_programs_snacks","AR","82"
"p_of_parents_satisfied_healthy_snacks","AR","72"
"p_of_parents_snacks_important","AR","58"
"p_of_parents_healthy_snacks_important","AR","56"
"p_of_parents_agree_should_provide_physical","AR","79"
"p_of_parents_programs_offers_physical","AR","91"
"p_of_parents_satisfied_programs_physical_amount","AR","89"
"p_of_parents_satisfied_programs_physical_variety","AR","82"
"p_of_parents_physical_important","AR","70"
"p_family_child_summer_2013","AR","21"
"p_family_child_summer_2008","AR","17"
"p_family_want_summer","AR","48"
"p_of_parents_agree_summer_academic","AR","77"
"avg_hr_per_day_summer","AR","4.84"
"avg_weeks_per_summer","AR","4.92"
"avg_dollars_per_week_summer","AR","233.8"
"p_of_parents_support_public_funding_summer","AR","89"
"p_of_parents_support_public_funding_summer_2009","AR","86"
"p_of_parents_report_stem_learning_opp","AR","72"
"p_of_parents_satisfied_stem_program","AR","75"
"p_of_parents_consider_stem_as_factor","AR","66"
"p_of_parents_agree_children_gain_stem","AR","62"
"p_of_parents_agree_should_provide_stem","AR","70"
"p_of_children_in_programs_2014","CA","24.9"
"p_of_children_in_programs_2009","CA","19"
"p_of_children_in_programs_2004","CA","12"
"avg_hr_per_week_in_programs","CA","8"
"avg_day_per_week_in_programs","CA","3.81"
"p_of_children_would_be_enrolled_2014","CA","48.6"
"p_of_children_would_be_enrolled_2009","CA","36"
"p_of_children_would_be_enrolled_2004","CA","37"
"p_of_children_alone_2014","CA","18.7"
"p_of_children_alone_2009","CA","24"
"p_of_children_alone_2004","CA","22"
"avg_hr_per_week_alone","CA","6.09"
"reason_1_not_enrolling_child","CA","Preference for alternative activities"
"reason_2_not_enrolling_child","CA","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","CA",""
"ans_1_type_activity","CA","Homework assistance"
"p_for_ans_1_type_activity","CA","81.4"
"ans_2_type_activity","CA","Opportunities for physical activity"
"p_for_ans_2_type_activity","CA","79.7"
"ans_3_type_activity","CA","Opportunities for reading or writing"
"p_for_ans_3_type_activity","CA","75.1"
"ans_4_type_activity","CA","STEM learning opportunities"
"p_for_ans_4_type_activity","CA","74.3"
"ans_5_type_activity","CA","Academic programs/clubs"
"p_for_ans_5_type_activity","CA","74.2"
"p_of_parents_programs_excite_abt_learning","CA","72.3"
"p_of_parents_programs_help_child_gain_skills","CA","72.8"
"p_of_parents_programs_reduce_risky","CA","79.5"
"p_of_parents_support_public_funding_2014","CA","86.4"
"p_of_parents_support_public_funding_2009","CA","86"
"p_of_parents_receive_public_funding","CA","16.2"
"p_of_parents_satisfied_child_program_2014","CA","89.7"
"p_of_parents_satisfied_child_program_2009","CA","97"
"p_of_parents_satisfied_child_program_2004","CA","94"
"p_of_parents_satisfied_program_safe","CA","90.4"
"p_of_parents_satisfied_program_quality_of_care","CA","91.7"
"ans_1_select_program","CA","My child enjoys the program"
"p_for_ans_1_select_program","CA","84"
"ans_2_select_program","CA","Is a safe haven"
"p_for_ans_2_select_program","CA","83.2"
"ans_3_select_program","CA","Knowledgeable and well-trained staff"
"p_for_ans_3_select_program","CA","83"
"ans_4_select_program","CA","Location is convenient"
"p_for_ans_4_select_program","CA","82.5"
"ans_5_select_program","CA","Quality of care"
