column 1,column 2,,state
Card 2,Parents agree that afterschool programs help children gain workforce skills,,Allegheney
Card 2 – Info ,"66% parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking.
",,Allegheney
Card 3,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors,,Allegheney
Card 3 – Info ,"72% parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity.",,Allegheney
,,,Allegheney
"Card 4 – Info 
",of parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.,,Allegheney
"Card 5 – Info 
","of parents support public funding for afterschool programs, while just 26% report receiving government assistance with the cost of afterschool.",,Allegheney
FOOTNOTE,"In Allegheney County, 127 households and 549 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in is 188,023, which is the foundation for all statewide projections in Allegheney County After 3PM. 







",,Allegheney
State Intro,"Nikki will provide (different for each)
",,NYC
,DEMAND – Children in Afterschool,,NYC
Card 1,Afterschool program participation in New York City,,NYC
"Card 1 Info


New - Card 2
New – Card 2","In 2014, 58% of New York City’s children participate in an afterschool program, compared to 28% in 2009.

Average time per week children spend in an afterschool program

For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m.",,NYC
"
Card 3","
Children in an afterschool program, by gender",,NYC
"
Card 4
Card 4 Info","
Average weekly cost of afterschool programs
The average weekly cost only includes parents who report that they pay a fee for their child’s afterschool program.",,NYC
"
","

DEMAND – Unmet Demand for Afterschool Programs",,NYC
"Card 1
Card 1 - Info

Card 2","Children who would participate if an afterschool program were available
In 2014, 67% of New York City’s children would participate in an afterschool program if one were available.

Children unsupervised after school",,NYC
"Card 2 – Info

Card 3
Card 3 -Info
","In 2014, 23% of New York City’s children are alone and unsupervised between the hours of 3 and 6 p.m. 

Average time per week children spend alone & unsupervised after school
For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m.",,NYC
TEXT CARD TITLE,What barriers to afterschool program enrollment are families facing?,,NYC
TEXT CARD INFO,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: 
Afterschool programs are not available in their community
Preference for alternative activities
Lack of a safe way for child to get to and come home from afterschool programs



BENEFITS – Parent Satisfaction with Afterschool Programs",,NYC
Card 1,Parents satisfied with their child’s afterschool program,,NYC
Card 1 –Info ,"In 2014, 91% of New York City’s parents are satisfied with their child’s afterschool program.",,NYC
"
Card 2","
Top 3 factors in parents’ selection of an afterschool program",,NYC
Card 2 – Info ,"My child enjoys the program
Is a safe haven
Quality of care",,NYC
"
Card 3
Card 3 – Info 


Card 4","
Top 3 activities/services offered by afterschool programs
Opportunities for physical activity
Homework assistance
STEM

Parents satisfied with the safe environment of their child’s afterschool program",,NYC
,,,NYC
Card 5,Parents satisfied with the quality of care in their child’s afterschool program,,NYC
,,,NYC
Card 6,Most common afterschool program providers,,NYC
"Card 6 – TEXT


Card 6","1. Afterschool program run by public school
2. Boys & Girls Club afterschool program
3. YMCA afterschool program

of afterschool programs are located in a public school building 


SUPPORT – Public Support for Afterschool Programs",,NYC
Card 1,Parents agree that afterschool programs excite children about learning,,NYC
,,,NYC
Card 2,Parents agree that afterschool programs help children gain workforce skills,,NYC
Card 2 – Info ,"72% parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking.
",,NYC
Card 3,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors,,NYC
Card 3 – Info ,"76% parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity.",,NYC
,,,NYC
"Card 4 – Info 
",of parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.,,NYC
"Card 5 – Info 
","of parents support public funding for afterschool programs, while just 26% report receiving government assistance with the cost of afterschool.",,NYC
FOOTNOTE,"In New York City, 210 households and 402 children were screened for this study.







",,NYC
