slug,state,place,text
p_of_parents_satisfied_program_quality_of_care,AL,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,AL,title,Most common afterschool program providers
ans_1_program_provider,AL,text,<ol><li>Public school</li><li>Religious organization</li><li>Boys & Girls Clubs</li></ol>
p_of_parents_program_public_school_bldg,AL,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,AL,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,AL,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,AL,text,"65% Alabama parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,AL,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,AL,text,"62% Alabama parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,AL,text,of Alabama parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,AL,text,"of Alabama parents support public funding for afterschool programs, while just 8% report receiving government assistance with the cost of afterschool."
FOOTNOTE,AL,text,"In Alabama, 203 households and 793 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Alabama is 783,343, which is the foundation for all statewide projections in Alabama After 3PM. "
p_of_children_in_programs_,AK,title,Afterschool program participation in Alaska
p_of_children_in_programs_,AK,text,"In 2014, 19% of Alaska's children participate in an afterschool program, compared to 18% in 2009 and 21% in 2004. "
avg_hr_per_week_in_programs,AK,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,AK,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,AK,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,AK,text,"In 2014, 20% of Alaska's children in grades K-5 participate in an afterschool program, compared to 23% in grades 6-8 and 19% in grades 9-12."
p_of_boys_program,AK,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,AK,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,AK,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,AK,text,"Most families piece together a variety of afterschool solutions, with 70% of Alaska's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (11%); sibling care (16%); and non-parental adult care, such as a grandparent or neighbor (31%). "
p_of_children_would_be_enrolled_,AK,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,AK,text,"In 2014, 43% of Alaska's children would participate in an afterschool program if one were available, compared to 35% in 2009 and 31% in 2004."
p_of_children_alone_,AK,title,Children unsupervised after school
p_of_children_alone_,AK,text,"In 2014, 24% of Alaska's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,AK,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,AK,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,AK,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,AK,text,"In 2014, 5% of Alaska's children in grades K-5 were unsupervised after school, compared to 32% in grades 6-8 and 46% in grades 9-12."
just_text_demand_unmet,AK,title,What barriers to afterschool program enrollment are Alaska families facing?
just_text_demand_unmet,AK,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>Lack of a safe way for child to get to and come home from afterschool programs</li></ul>"
p_of_parents_satisfied_child_program_,AK,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,AK,text,"In 2014, 91% of Alaska's parents were satisfied with their child's afterschool program, compared to 95% in 2009 and 58% in 2004."
ans_1_select_program,AK,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,AK,text,<ul><li>Is a safe haven</li><li>Quality of care</li><li>The hours meet parents' needs</li><li>Knowledgeable and well-trained staff</li><li>Location is convenient</li></ul>
ans_1_type_activity,AK,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,AK,text,<ul><li>Opportunities for physical activity</li><li>Homework assistance</li><li>Music or art</li><li>STEM learning opportunities</li><li>Academic programs/clubs</li></ul>
p_of_parents_satisfied_program_safe,AK,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,AK,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,AK,title,Most common afterschool program providers
ans_1_program_provider,AK,text,<ol><li>Public school</li><li>City or town (including Parks and Recreation Department)</li><li>Boys & Girls Clubs</li></ol>
p_of_parents_program_public_school_bldg,AK,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,AK,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,AK,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,AK,text,"67% Alaska parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,AK,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,AK,text,"67% Alaska parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,AK,text,of Alaska parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,AK,text,"of Alaska parents support public funding for afterschool programs, while just 17% report receiving government assistance with the cost of afterschool."
FOOTNOTE,AK,text,"In Alaska, 207 households and 449 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Alaska is 132,121, which is the foundation for all statewide projections in Alaska After 3PM. "
p_of_children_in_programs_,AZ,title,Afterschool program participation in Arizona
p_of_children_in_programs_,AZ,text,"In 2014, 16% of Arizona's children participate in an afterschool program, compared to 16% in 2009 and 12% in 2004. "
avg_hr_per_week_in_programs,AZ,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,AZ,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,AZ,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,AZ,text,"In 2014, 21% of Arizona's children in grades K-5 participate in an afterschool program, compared to 17% in grades 6-8 and 11% in grades 9-12."
p_of_boys_program,AZ,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,AZ,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,AZ,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,AZ,text,"Most families piece together a variety of afterschool solutions, with 74% of Arizona's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (8%); sibling care (14%); and non-parental adult care, such as a grandparent or neighbor (28%). "
p_of_children_would_be_enrolled_,AZ,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,AZ,text,"In 2014, 34% of Arizona's children would participate in an afterschool program if one were available, compared to 34% in 2009 and 30% in 2004."
p_of_children_alone_,AZ,title,Children unsupervised after school
p_of_children_alone_,AZ,text,"In 2014, 19% of Arizona's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,AZ,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,AZ,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,AZ,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,AZ,text,"In 2014, 3% of Arizona's children in grades K-5 were unsupervised after school, compared to 8% in grades 6-8 and 37% in grades 9-12."
just_text_demand_unmet,AZ,title,What barriers to afterschool program enrollment are Arizona families facing?
just_text_demand_unmet,AZ,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,AZ,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,AZ,text,"In 2014, 97% of Arizona's parents were satisfied with their child's afterschool program, compared to 86% in 2009 and 86% in 2004."
ans_1_select_program,AZ,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,AZ,text,<ul><li>Their child enjoys the afterschool program</li><li>Quality of care</li><li>Location is convenient</li><li>Opportunities for reading or writing offered</li><li>Is a safe haven</li></ul>
ans_1_type_activity,AZ,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,AZ,text,<ul><li>Opportunities for physical activity</li><li>Homework assistance</li><li>Opportunities for reading or writing</li><li>Music or art</li><li>Parent/family activities</li></ul>
p_of_parents_satisfied_program_safe,AZ,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,AZ,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,AZ,title,Most common afterschool program providers
ans_1_program_provider,AZ,text,<ol><li>Public school</li><li>City or town (including Parks and Recreation Department)</li><li>Private school</li></ol>
p_of_parents_program_public_school_bldg,AZ,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,AZ,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,AZ,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,AZ,text,"71% Arizona parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,AZ,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,AZ,text,"70% Arizona parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,AZ,text,of Arizona parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,AZ,text,"of Arizona parents support public funding for afterschool programs, while just 32% report receiving government assistance with the cost of afterschool."
FOOTNOTE,AZ,text,"In Arizona, 261 households and 1,117 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Arizona is 1,109,029, which is the foundation for all statewide projections in Arizona After 3PM. "
p_of_children_in_programs_,AR,title,Afterschool program participation in Arkansas
p_of_children_in_programs_,AR,text,"In 2014, 13% of Arkansas's children participate in an afterschool program, compared to 12% in 2009 and 8% in 2004. "
avg_hr_per_week_in_programs,AR,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,AR,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,AR,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,AR,text,"In 2014, 14% of Arkansas's children in grades K-5 participate in an afterschool program, compared to 14% in grades 6-8 and 11% in grades 9-12."
p_of_boys_program,AR,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,AR,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,AR,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,AR,text,"Most families piece together a variety of afterschool solutions, with 70% of Arkansas's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (7%); sibling care (13%); and non-parental adult care, such as a grandparent or neighbor (29%). "
p_of_children_would_be_enrolled_,AR,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,AR,text,"In 2014, 45% of Arkansas's children would participate in an afterschool program if one were available, compared to 44% in 2009 and 33% in 2004."
p_of_children_alone_,AR,title,Children unsupervised after school
p_of_children_alone_,AR,text,"In 2014, 13% of Arkansas's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,AR,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,AR,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,AR,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,AR,text,"In 2014, 3% of Arkansas's children in grades K-5 were unsupervised after school, compared to 18% in grades 6-8 and 36% in grades 9-12."
just_text_demand_unmet,AR,title,What barriers to afterschool program enrollment are Arkansas families facing?
just_text_demand_unmet,AR,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,AR,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,AR,text,"In 2014, 95% of Arkansas's parents were satisfied with their child's afterschool program, compared to 79% in 2009 and 86% in 2004."
ans_1_select_program,AR,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,AR,text,<ul><li>Is a safe haven</li><li>Quality of care</li><li>Their child enjoys the afterschool program</li><li>Program cost</li><li>The hours meet parents' needs</li></ul>
ans_1_type_activity,AR,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,AR,text,"<ul><li>Opportunities for physical activity</li><li>Beverages, snacks and/or meals</li><li>Homework assistance</li><li>Music or art</li><li>Opportunities for reading or writing</li></ul>"
p_of_parents_satisfied_program_safe,AR,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,AR,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,AR,title,Most common afterschool program providers
ans_1_program_provider,AR,text,<ol><li>Public school</li><li>Boys & Girls Clubs</li><li>YMCAs</li></ol>
p_of_parents_program_public_school_bldg,AR,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,AR,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,AR,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,AR,text,"63% Arkansas parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,AR,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,AR,text,"74% Arkansas parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,AR,text,of Arkansas parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,AR,text,"of Arkansas parents support public funding for afterschool programs, while just 33% report receiving government assistance with the cost of afterschool."
FOOTNOTE,AR,text,"In Arkansas, 200 households and 664 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Arkansas is 489,523, which is the foundation for all statewide projections in Arkansas After 3PM. "
p_of_children_in_programs_,CA,title,Afterschool program participation in California
p_of_children_in_programs_,CA,text,"In 2014, 25% of California's children participate in an afterschool program, compared to 19% in 2009 and 12% in 2004. "
avg_hr_per_week_in_programs,CA,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,CA,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,CA,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,CA,text,"In 2014, 31% of California's children in grades K-5 participate in an afterschool program, compared to 29% in grades 6-8 and 15% in grades 9-12."
p_of_boys_program,CA,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,CA,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,CA,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,CA,text,"Most families piece together a variety of afterschool solutions, with 66% of California's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (12%); sibling care (19%); and non-parental adult care, such as a grandparent or neighbor (33%). "
p_of_children_would_be_enrolled_,CA,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,CA,text,"In 2014, 49% of California's children would participate in an afterschool program if one were available, compared to 36% in 2009 and 37% in 2004."
p_of_children_alone_,CA,title,Children unsupervised after school
p_of_children_alone_,CA,text,"In 2014, 19% of California's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,CA,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,CA,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,CA,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,CA,text,"In 2014, 3% of California's children in grades K-5 were unsupervised after school, compared to 9% in grades 6-8 and 44% in grades 9-12."
just_text_demand_unmet,CA,title,What barriers to afterschool program enrollment are California families facing?
just_text_demand_unmet,CA,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,CA,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,CA,text,"In 2014, 90% of California's parents were satisfied with their child's afterschool program, compared to 97% in 2009 and 94% in 2004."
ans_1_select_program,CA,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,CA,text,<ul><li>Their child enjoys the afterschool program</li><li>Is a safe haven</li><li>Knowledgeable and well-trained staff</li><li>Location is convenient</li><li>Quality of care</li></ul>
ans_1_type_activity,CA,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,CA,text,<ul><li>Homework assistance</li><li>Opportunities for physical activity</li><li>Opportunities for reading or writing</li><li>STEM learning opportunities</li><li>Academic programs/clubs</li></ul>
p_of_parents_satisfied_program_safe,CA,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,CA,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,CA,title,Most common afterschool program providers
ans_1_program_provider,CA,text,<ol><li>Public school</li><li>Boys & Girls Clubs</li><li>Private school</li></ol>
p_of_parents_program_public_school_bldg,CA,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,CA,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,CA,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,CA,text,"73% California parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,CA,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,CA,text,"80% California parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,CA,text,of California parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,CA,text,"of California parents support public funding for afterschool programs, while just 16% report receiving government assistance with the cost of afterschool."
FOOTNOTE,CA,text,"In California, 854 households and 4,189 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in California is 6,672,185, which is the foundation for all statewide projections in California After 3PM. "
p_of_children_in_programs_,CO,title,Afterschool program participation in Colorado
p_of_children_in_programs_,CO,text,"In 2014, 15% of Colorado's children participate in an afterschool program, compared to 13% in 2009 and 11% in 2004. "
avg_hr_per_week_in_programs,CO,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,CO,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,CO,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,CO,text,"In 2014, 20% of Colorado's children in grades K-5 participate in an afterschool program, compared to 13% in grades 6-8 and 11% in grades 9-12."
p_of_boys_program,CO,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,CO,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,CO,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,CO,text,"Most families piece together a variety of afterschool solutions, with 76% of Colorado's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (7%); sibling care (13%); and non-parental adult care, such as a grandparent or neighbor (24%). "
p_of_children_would_be_enrolled_,CO,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,CO,text,"In 2014, 35% of Colorado's children would participate in an afterschool program if one were available, compared to 40% in 2009 and 27% in 2004."
p_of_children_alone_,CO,title,Children unsupervised after school
p_of_children_alone_,CO,text,"In 2014, 17% of Colorado's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,CO,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,CO,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,CO,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,CO,text,"In 2014, 1% of Colorado's children in grades K-5 were unsupervised after school, compared to 25% in grades 6-8 and 33% in grades 9-12."
just_text_demand_unmet,CO,title,What barriers to afterschool program enrollment are Colorado families facing?
just_text_demand_unmet,CO,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>Lack of a safe way for child to get to and come home from afterschool programs</li></ul>"
p_of_parents_satisfied_child_program_,CO,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,CO,text,"In 2014, 88% of Colorado's parents were satisfied with their child's afterschool program, compared to 90% in 2009 and 95% in 2004."
ans_1_select_program,CO,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,CO,text,<ul><li>Is a safe haven</li><li>Quality of care</li><li>Knowledgeable and well-trained staff</li><li>The hours meet parents' needs</li><li>Variety of activities</li></ul>
ans_1_type_activity,CO,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,CO,text,"<ul><li>Opportunities for physical activity</li><li>Homework assistance</li><li>Beverages, snacks and/or meals</li><li>STEM learning opportunities</li><li>Academic programs/clubs</li></ul>"
p_of_parents_satisfied_program_safe,CO,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,CO,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,CO,title,Most common afterschool program providers
ans_1_program_provider,CO,text,<ol><li>Public school</li><li>City or town (including Parks and Recreation Department)</li><li>Boys & Girls Clubs</li></ol>
p_of_parents_program_public_school_bldg,CO,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,CO,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,CO,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,CO,text,"49% Colorado parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,CO,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,CO,text,"71% Colorado parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,CO,text,of Colorado parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,CO,text,"of Colorado parents support public funding for afterschool programs, while just 14% report receiving government assistance with the cost of afterschool."
FOOTNOTE,CO,text,"In Colorado, 225 households and 1,023 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Colorado is 863,857, which is the foundation for all statewide projections in Colorado After 3PM. "
p_of_children_in_programs_,CT,title,Afterschool program participation in Connecticut
p_of_children_in_programs_,CT,text,"In 2014, 17% of Connecticut's children participate in an afterschool program, compared to 18% in 2009 and 14% in 2004. "
avg_hr_per_week_in_programs,CT,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,CT,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,CT,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,CT,text,"In 2014, 20% of Connecticut's children in grades K-5 participate in an afterschool program, compared to 21% in grades 6-8 and 10% in grades 9-12."
p_of_boys_program,CT,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,CT,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,CT,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,CT,text,"Most families piece together a variety of afterschool solutions, with 68% of Connecticut's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (9%); sibling care (15%); and non-parental adult care, such as a grandparent or neighbor (29%). "
